id,property_code,date,market_rent,occupied_rent,revenue,expenses,owed,charges,collections,income_actual,income_budget,expense_actual,expense_budget,actual_cash,adjusted_cash,collected,collections_pct
1,georget,2025-02-01,1117.05,1057.0,89245.4,27397.62,0.0,3233.29,,,,,,,,,100.0
2,georget,2025-03-01,1117.05,1059.62,111793.14,42763.89,0.0,111793.14,,,,,,,,,100.0
256,kenplc,2025-07-01,1521.04,1333.14,323584.0,129024.0,138687.0,341969.0,,,,,,,,,59.44
257,kenplc,2025-08-01,1521.04,1339.62,321882.0,107697.0,125119.0,340310.0,,,,,,,,,63.23
258,kenplc,2025-09-01,1521.04,1339.93,321913.0,117797.0,110971.0,340345.0,,,,,,,,,67.39
259,kenplc,2025-10-01,1521.04,1346.36,322695.0,116688.0,93628.0,341196.0,,,,,,,,,72.56
260,kenplc,2025-11-01,1521.04,1350.56,322717.0,115951.0,76131.0,341247.0,,,,,,,,,77.69
261,kenplc,2025-12-01,1521.04,1348.82,320987.0,139685.0,58925.0,339503.0,,,,,,,,,82.64
262,kenplc,2026-01-01,1521.04,1349.29,320327.0,127665.0,43286.0,338884.0,,,,,,,,,87.23
263,kenplc,2026-02-01,1521.04,1357.27,317859.0,108831.0,25829.0,336316.0,,,,,,,,,92.32
264,wdlndcm,2025-04-01,1529.57,1518.62,189565.04,42469.98,36456.0,189564.99,,,,,,,,,80.77
265,wdlndcm,2025-05-01,1529.57,1519.36,179062.3,87011.09,13962.1,177793.83,,,,,,,,,92.15
266,wdlndcm,2025-06-01,1529.57,1517.49,181926.11,104141.59,5889.75,186867.35,,,,,,,,,96.85
267,wdlndcm,2025-07-01,1429.57,1520.19,179263.98,110544.19,5572.0,182901.42,,,,,,,,,96.95
268,wdlndcm,2025-08-01,1439.43,1518.81,179463.28,110800.99,0.0,186853.42,,,,,,,,,100.0
269,wdlndcm,2025-09-01,1439.43,1514.05,166674.65,101528.6,0.0,177314.81,,,,,,,,,100.0
270,wdlndcm,2025-10-01,1439.43,1513.12,162052.68,77326.78,38.79,164511.2,,,,,,,,,99.98
271,wdlndcm,2025-11-01,1439.43,1517.62,165977.0,93271.46,2254.41,169395.33,,,,,,,,,98.67
272,wdlndcm,2025-12-01,1439.43,1512.03,189327.68,126556.94,1530.12,189327.68,,,,,,,,,99.19
273,wdlndcm,2026-01-01,1464.43,1525.95,192969.58,85084.57,8673.95,194729.92,,,,,,,,,95.55
274,wdlndcm,2026-02-01,1464.43,1499.38,,,19056.98,192514.17,,,,,,,,,90.1
275,turn,2025-03-01,1464.25,1291.96,129727.62,53373.24,4560.0,306069.17,,,,,,,,,98.51
276,turn,2025-04-01,1464.25,1392.82,311429.76,119384.8,1679.0,299549.51,,,,,,,,,99.44
277,turn,2025-05-01,1464.25,1404.4,308850.77,127448.3,1620.5,306052.22,,,,,,,,,99.47
