id,property_code,week_date,occupancy_pct,leased_pct,units,occupied,vacant,notice,rented,available,move_ins,move_outs,evictions,make_ready_count,work_orders_count,new_leads,tours,applications,delinquency_0_30,delinquency_31_60,delinquency_61_90,delinquency_over_90,prepayment,delinquency_balance,evictions_filed,evictions_not_filed
55.0,perryh,2026-02-09,,,,,,,,,2,1,,11,7,10,4,0,,,,,,,,
56.0,perryh,2026-02-02,,,,,,,,,1,2,,13,0,14,9,2,,,,,,,,
57.0,perryh,2026-02-16,,,,,,,,,2,1,,10,5,7,5,0,,,,,,,,
58.0,perryh,2026-02-23,91.66,94.44,108.0,99.0,9.0,5.0,3.0,11.0,2,1,,11,6,13,4,0,29452.16,6022.72,1377.5,0.0,-612.3,36240.08,4.0,14.0
59.0,abbeylk,2026-02-02,,,,,,,,,0,0,,12,3,20,0,0,,,,,,,,
60.0,abbeylk,2026-02-09,,,,,,,,,1,0,,15,4,21,2,4,,,,,,,,
61.0,abbeylk,2026-02-16,,,,,,,,,0,2,,21,5,20,2,2,,,,,,,,
62.0,abbeylk,2026-02-23,,,,,,,,,1,1,,16,3,29,4,4,,,,,,,,
63.0,georget,2026-02-09,97.05,99.01,102.0,99.0,3.0,1.0,3.0,1.0,0,0,,2,2,7,2,2,-36.51,0.0,0.0,0.0,-2114.5,-2151.01,0.0,0.0
64.0,portico,2026-03-09,,,,,,,,,0,1,,19,8,11,4,0,,,,,,,,
65.0,georget,2026-03-09,,,,,,,,,0,0,,1,3,9,1,0,,,,,,,,
66.0,abbeylk,2026-03-16,,,,,,,,,1,0,,15,8,23,2,0,,,,,,,,
67.0,georget,2026-03-23,,,,,,,,,0,0,,1,3,9,1,0,,,,,,,,
,georget,2026-01-26,97.05,99.01,102.0,99.0,3.0,1.0,3.0,1.0,0,0,,2,2,7,2,2,-36.51,0.0,0.0,0.0,-2114.5,-2151.01,0.0,0.0
,55pharr,2026-02-09,85.36,88.61,123.0,105.0,16.0,12.0,,26.0,1,0,,22,43,15,0,1,,,,,,,10.0,
,kenplc,2026-02-23,96.87,98.43,128.0,124.0,4.0,6.0,3.0,7.0,0,0,,6,3,13,2,2,8945.04,1293.11,0.0,0.0,-127.91,10110.24,1.0,4.0
,marbla,2026-02-09,,,,,,,,,0,0,,9,1,2,0,0,,,,,,,,
,perryh,2026-04-20,,,,,,,,,0,1,,22,4,14,3,1,,,,,,,,
,wdlndcm,2026-04-20,,,,,,,,,1,0,,17,3,13,3,2,,,,,,,,
,turn,2026-04-20,,,,,,,,,2,2,,27,31,31,9,2,,,,,,,,
,portico,2026-04-20,,,,,,,,,1,0,,16,10,5,2,2,,,,,,,,
,georget,2026-04-20,,,,,,,,,1,0,,7,7,2,1,2,,,,,,,,
,longvw,2026-04-20,,,,,,,,,1,1,,14,2,7,0,2,,,,,,,,
